case_id,emotion,modification_type,diagnosis_correct,total_tokens,total_time,total_calls,tokens_per_second,doctor_tokens,patient_tokens,doctor_time,patient_time
case_1,calm,fake_symptoms_added,False,36234,235.14676070213318,21,154.09100211207502,14732,21502,163.87655806541443,71.27020263671875
case_1,anxious,fake_symptoms_added,False,74305,379.42259883880615,22,195.83704351666128,38888,35417,270.68061351776123,108.74198532104492
case_4,calm,fake_symptoms_added,False,51435,302.7420017719269,21,169.8971391447328,23566,27869,213.29876589775085,89.44323587417603
case_4,anxious,fake_symptoms_added,False,56501,373.80464935302734,22,151.15114297746337,30396,26105,279.3945984840393,94.41005086898804
case_6,calm,fake_symptoms_added,True,44692,227.0206639766693,22,196.8631366728491,23298,21394,161.77557706832886,65.24508690834045
case_6,anxious,fake_symptoms_added,True,11248,101.2123692035675,9,111.1326618328339,5119,6129,72.85284447669983,28.359524726867676
